NestID_Method,NestID,OrdinalDate,Method,Orth,Aran,Lepid_Cat,Past,Pasture_patch,Year,HerbYesNo_alltime,HerbTreat_1418,GrazingYesNo
BSH DICK 1 16_Sweep,BSH DICK 1 16,191,Sweep,33,2,2,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 1 16_Vacuum,BSH DICK 1 16,191,Vacuum,13,4,0,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 10 16_Sweep,BSH DICK 10 16,221,Sweep,15,2,0,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 10 16_Vacuum,BSH DICK 10 16,221,Vacuum,10,3,2,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 3 16_Sweep,BSH DICK 3 16,191,Sweep,61,3,0,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 3 16_Vacuum,BSH DICK 3 16,191,Vacuum,22,6,0,BSH,BSH_C,2016,Yes,Spr,No
BSH DICK 9 16_Sweep,BSH DICK 9 16,221,Sweep,153,22,8,BSH,BSH_S,2016,Yes,SnS,No
BSH DICK 9 16_Vacuum,BSH DICK 9 16,221,Vacuum,10,0,3,BSH,BSH_S,2016,Yes,SnS,No
GIL DICK 3 16_Sweep,GIL DICK 3 16,215,Sweep,14,21,8,GIL,GIL_C,2016,Yes,SnS,Yes
GIL DICK 3 16_Vacuum,GIL DICK 3 16,215,Vacuum,25,10,4,GIL,GIL_C,2016,Yes,SnS,Yes
GIL DICK 4 16_Sweep,GIL DICK 4 16,215,Sweep,12,7,6,GIL,GIL_S,2016,No,Con,Yes
GIL DICK 4 16_Vacuum,GIL DICK 4 16,215,Vacuum,32,14,3,GIL,GIL_S,2016,No,Con,Yes
GIL DICK 5 16_Sweep,GIL DICK 5 16,215,Sweep,72,30,11,GIL,GIL_C,2016,Yes,SnS,Yes
GIL DICK 5 16_Vacuum,GIL DICK 5 16,215,Vacuum,7,20,2,GIL,GIL_C,2016,Yes,SnS,Yes
LTR DICK 2 16_Sweep,LTR DICK 2 16,196,Sweep,37,6,1,LTR,LTR_E,2016,Yes,SnS,Yes
LTR DICK 2 16_Vacuum,LTR DICK 2 16,196,Vacuum,20,7,3,LTR,LTR_E,2016,Yes,SnS,Yes
LTR DICK 4 16_Sweep,LTR DICK 4 16,196,Sweep,39,4,2,LTR,LTR_E,2016,Yes,SnS,Yes
LTR DICK 4 16_Vacuum,LTR DICK 4 16,196,Vacuum,40,23,0,LTR,LTR_E,2016,Yes,SnS,Yes
LTR DICK 7 16_Sweep,LTR DICK 7 16,218,Sweep,29,30,9,LTR,LTR_E,2016,Yes,SnS,Yes
LTR DICK 7 16_Vacuum,LTR DICK 7 16,218,Vacuum,11,3,0,LTR,LTR_E,2016,Yes,SnS,Yes
RC2 DICK 1 16_Sweep,RC2 DICK 1 16,197,Sweep,12,6,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 1 16_Vacuum,RC2 DICK 1 16,197,Vacuum,15,2,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 11 16_Sweep,RC2 DICK 11 16,183,Sweep,32,5,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 11 16_Vacuum,RC2 DICK 11 16,183,Vacuum,23,8,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 12 16_Sweep,RC2 DICK 12 16,190,Sweep,37,5,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 12 16_Vacuum,RC2 DICK 12 16,190,Vacuum,10,3,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 13 16_Sweep,RC2 DICK 13 16,166,Sweep,5,2,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 13 16_Vacuum,RC2 DICK 13 16,166,Vacuum,18,2,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 14 16_Sweep,RC2 DICK 14 16,183,Sweep,24,3,5,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 14 16_Vacuum,RC2 DICK 14 16,183,Vacuum,15,5,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 15 16_Sweep,RC2 DICK 15 16,171,Sweep,1,5,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 15 16_Vacuum,RC2 DICK 15 16,171,Vacuum,14,2,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 16 16_Sweep,RC2 DICK 16 16,180,Sweep,16,8,3,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 16 16_Vacuum,RC2 DICK 16 16,177,Vacuum,6,4,0,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 17 16_Sweep,RC2 DICK 17 16,190,Sweep,43,7,4,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 17 16_Vacuum,RC2 DICK 17 16,191,Vacuum,6,8,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 19 16_Sweep,RC2 DICK 19 16,190,Sweep,19,12,0,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 19 16_Vacuum,RC2 DICK 19 16,190,Vacuum,8,8,0,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 2 16_Sweep,RC2 DICK 2 16,171,Sweep,5,4,1,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 2 16_Vacuum,RC2 DICK 2 16,171,Vacuum,8,6,1,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 21 16_Sweep,RC2 DICK 21 16,212,Sweep,36,13,4,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 21 16_Vacuum,RC2 DICK 21 16,212,Vacuum,4,10,0,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 23 16_Sweep,RC2 DICK 23 16,201,Sweep,15,5,1,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 23 16_Vacuum,RC2 DICK 23 16,191,Vacuum,7,14,1,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 27 16_Sweep,RC2 DICK 27 16,212,Sweep,18,10,7,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 27 16_Vacuum,RC2 DICK 27 16,212,Vacuum,13,14,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 28 16_Sweep,RC2 DICK 28 16,219,Sweep,19,13,1,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 28 16_Vacuum,RC2 DICK 28 16,129,Vacuum,4,17,0,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 30 16_Sweep,RC2 DICK 30 16,221,Sweep,7,4,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 30 16_Vacuum,RC2 DICK 30 16,221,Vacuum,4,8,3,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 32 16_Sweep,RC2 DICK 32 16,221,Sweep,15,18,4,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 32 16_Vacuum,RC2 DICK 32 16,221,Vacuum,14,29,2,RC2,RC2_C,2016,Yes,Spr,No
RC2 DICK 7 16_Sweep,RC2 DICK 7 16,155,Sweep,7,8,1,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 7 16_Vacuum,RC2 DICK 7 16,185,Vacuum,11,6,2,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 8 16_Sweep,RC2 DICK 8 16,182,Sweep,16,7,2,RC2,RC2_N,2016,Yes,SnS,No
RC2 DICK 8 16_Vacuum,RC2 DICK 8 16,182,Vacuum,23,9,1,RC2,RC2_N,2016,Yes,SnS,No
