Pasture_Patch_Year,TotalNests,SuccessfulNests,SuccessfulPercent,UnknownFateNests,TotalDICKFledged,TotalBHCOFledged,FirstInitiationOrdinal,Pasture_patch,Pasture,Year,FireTreat,TSF,HerbYesNo,HerbTreat,GrazingYesNo,GrazingTreat,TSH,NestDensity,Patchsize_ha,Pasture_Year,DICK_D
BSH_C_2016,4,1,0.25,0,3,2,150,BSH_C,BSH,2016,No,UNK,Yes,Spr,No,None,1.5,0.952380952,4.2,BSH_2016,1.5
BSH_N_2016,5,1,0.2,0,2,0,151,BSH_N,BSH,2016,No,UNK,No,Con,No,None,Never,1.004016064,4.98,BSH_2016,2.5
BSH_S_2016,2,1,0.5,0,3,0,169,BSH_S,BSH,2016,No,UNK,Yes,SnS,No,None,1.5,0.414937759,4.82,BSH_2016,2
GIL_C_2016,5,3,0.6,1,8,1,160,GIL_C,GIL,2016,FB,1,Yes,SnS,Yes,IES,1.5,0.403225806,12.4,GIL_2016,1.666666667
GIL_N_2016,0,0,0,0,0,0,365,GIL_N,GIL,2016,FB,1,Yes,Spr,Yes,IES,1.5,0,7.8,GIL_2016,0.0000001
GIL_S_2016,2,1,0.5,1,2,0,180,GIL_S,GIL,2016,FB,0,No,Con,Yes,IES,1.5,0.263157895,7.6,GIL_2016,1
LTR_C_2016,4,1,0.25,0,4,0,160,LTR_C,LTR,2016,FB,1,Yes,Spr,Yes,IES,1.5,0.334448161,11.96,LTR_2016,0.8
LTR_E_2016,4,2,0.5,1,6,1,166,LTR_E,LTR,2016,FB,1,Yes,SnS,Yes,IES,1.5,0.327868852,12.2,LTR_2016,1.333333333
LTR_W_2016,0,0,0,0,0,0,365,LTR_W,LTR,2016,FB,1,No,Con,Yes,IES,Never,0,10.8,LTR_2016,0.166666667
RC2_C_2016,10,3,0.3,0,6,0,144,RC2_C,RC2,2016,No,UNK,Yes,Spr,No,None,1.5,2.222222222,4.5,RC2_2016,2.5
RC2_N_2016,25,5,0.2,0,13,2,133,RC2_N,RC2,2016,No,UNK,Yes,SnS,No,None,1.5,5.580357143,4.48,RC2_2016,4
RC2_S_2016,2,0,0,1,0,0,179,RC2_S,RC2,2016,No,UNK,No,Con,No,None,1.5,0.414078675,4.83,RC2_2016,1
